Molecule,Cluster
0,0
1,1
2,1
3,2
4,2
5,2
6,1
7,3
8,1
9,3
10,4
11,5
12,6
13,2
14,2
15,4
16,6
17,7
18,1
19,7
20,1
21,7
22,4
23,4
24,0
25,0
26,8
27,4
28,7
29,1
30,5
31,1
32,1
33,3
34,8
35,7
36,5
37,1
38,7
39,5
40,0
41,9
42,0
43,1
44,6
45,4
46,4
47,10
48,5
49,5
50,7
51,4
52,7
53,3
54,1
55,5
56,1
57,4
58,4
59,4
60,3
61,1
62,6
63,4
64,5
65,6
66,3
67,3
68,3
69,4
70,7
71,7
72,4
73,4
74,3
75,3
76,1
77,7
78,7
79,7
80,5
81,4
82,5
83,1
84,7
85,6
86,0
87,10
88,4
89,0
90,9
91,5
92,2
93,2
94,0
95,8
96,7
97,4
98,2
99,3
100,7
101,10
102,10
103,3
104,6
105,3
106,7
107,4
108,10
109,3
110,9
111,11
112,11
113,9
114,9
115,8
116,1
117,3
118,3
119,7
120,7
121,12
122,3
123,2
124,5
125,3
126,4
127,4
128,4
129,5
130,4
131,4
132,3
133,3
134,9
135,1
136,6
137,5
138,4
139,7
140,7
141,3
142,5
143,4
144,7
145,4
146,1
147,4
148,3
149,7
150,3
151,4
152,4
153,13
154,13
155,4
156,8
157,2
158,7
159,6
160,8
161,14
162,5
163,14
164,8
165,7
166,4
167,10
168,6
169,9
170,14
171,12
172,7
173,6
174,3
175,7
176,5
177,9
178,5
179,1
180,7
181,5
182,5
183,4
184,1
185,7
186,3
187,4
188,3
189,3
190,5
191,3
192,5
193,3
194,7
195,4
196,7
197,4
198,4
199,1
200,4
201,0
202,7
203,4
204,3
205,5
206,4
207,5
208,3
209,3
210,5
211,3
212,3
213,4
214,4
215,4
216,1
217,5
218,1
219,3
220,4
221,7
222,4
223,3
224,9
225,7
226,12
227,0
228,5
229,4
230,15
231,4
232,8
233,6
234,9
235,13
236,5
237,4
238,7
239,7
240,3
241,3
242,4
243,9
244,9
245,12
246,4
247,6
248,4
249,1
250,8
251,5
252,7
253,7
254,5
255,1
256,0
257,5
258,7
259,9
260,0
261,1
262,1
263,8
264,3
265,1
266,4
267,3
268,7
269,5
270,3
271,7
272,1
273,3
274,7
275,4
276,3
277,3
278,1
279,7
280,1
281,4
282,5
283,4
284,7
285,3
286,5
287,4
288,7
289,16
290,9
291,5
292,1
293,10
294,10
295,7
296,7
297,4
298,4
299,7
300,4
301,3
302,7
303,9
304,4
305,9
306,2
307,3
308,5
309,6
310,4
311,3
312,6
313,3
314,4
315,6
316,2
317,5
318,13
319,10
320,13
321,16
322,2
323,12
324,12
325,12
326,7
327,5
328,5
329,12
330,7
331,7
332,3
333,7
334,4
335,7
336,4
337,4
338,7
339,17
340,4
341,17
342,5
343,4
344,4
345,5
346,7
347,1
348,12
349,4
350,8
351,7
352,1
353,3
354,1
355,16
356,6
357,7
358,4
359,7
360,3
361,3
362,7
363,3
364,7
365,3
366,7
367,6
368,5
369,4
370,17
371,1
372,3
373,9
374,3
375,6
376,9
377,9
378,10
379,1
380,11
381,5
382,4
383,6
384,6
385,10
386,7
387,7
388,13
389,9
390,10
391,9
392,1
393,12
394,7
395,7
396,3
397,9
398,5
399,7
400,13
401,4
402,12
403,7
404,7
405,7
406,13
407,6
408,7
409,5
410,1
411,6
412,4
413,1
414,10
415,9
416,5
417,2
418,3
419,4
420,7
421,5
422,4
423,7
424,4
425,7
426,12
427,10
428,7
429,7
430,7
431,17
432,3
433,7
434,8
435,8
436,0
437,10
438,10
439,13
440,10
441,10
442,10
443,15
444,4
445,7
446,17
447,12
448,11
449,0
450,3
451,4
452,9
453,8
454,8
455,0
456,7
457,12
458,2
459,3
460,4
461,4
462,7
463,7
464,4
465,7
466,4
467,7
468,12
469,7
470,8
471,7
472,8
473,9
474,8
475,13
476,6
477,7
478,6
479,5
480,0
481,4
482,9
483,8
484,17
485,6
486,7
487,6
488,8
489,1
490,7
491,0
492,12
493,5
494,12
495,9
496,3
497,10
498,10
499,9
500,7
501,13
502,12
503,6
504,16
505,4
506,9
507,7
508,9
509,9
510,16
511,1
512,4
513,12
514,5
515,7
516,4
517,7
518,4
519,7
520,7
521,4
522,8
523,9
524,9
525,7
526,4
527,4
528,3
529,9
530,16
531,0
532,5
533,5
534,14
535,5
536,7
537,3
538,1
539,4
540,4
541,2
542,2
543,1
544,3
545,7
546,4
547,5
548,4
549,7
550,4
551,7
552,4
553,13
554,4
555,9
556,3
557,8
558,7
559,7
560,6
561,5
562,6
563,4
564,7
565,1
566,1
567,3
568,9
569,3
570,3
571,6
572,9
573,10
574,1
575,4
576,1
577,6
578,1
579,12
580,13
581,7
582,8
583,16
584,1
585,16
586,7
587,3
588,1
589,16
590,7
591,1
592,3
593,5
594,10
595,6
596,4
597,5
598,5
599,7
600,7
601,4
602,4
603,10
604,1
605,7
606,7
607,7
608,7
609,7
610,7
611,4
612,3
613,5
614,7
615,5
616,1
617,4
618,6
619,7
620,4
621,2
622,5
623,3
624,4
625,4
626,7
627,4
628,10
629,6
630,9
631,4
632,7
633,4
634,9
635,0
636,4
637,4
638,7
639,3
640,7
641,1
642,7
643,4
644,5
645,4
646,7
647,1
648,1
649,6
650,7
651,4
652,4
653,4
654,4
655,1
656,1
657,5
658,5
659,10
660,4
661,4
662,3
663,7
664,5
665,3
666,10
667,5
668,8
669,5
670,5
671,7
672,1
673,2
674,7
675,0
676,4
677,1
678,5
679,4
680,4
681,7
682,4
683,1
684,1
685,4
686,3
687,6
688,4
689,6
690,3
691,3
692,7
693,4
694,3
695,1
696,7
697,7
698,4
699,5
700,10
701,7
702,6
703,2
704,4
705,2
706,3
707,11
708,5
709,6
710,4
711,3
712,2
713,1
714,5
715,3
716,6
717,7
718,0
719,3
720,2
721,15
722,3
723,7
724,3
725,3
726,4
727,4
728,5
729,4
730,3
731,1
732,6
733,4
734,7
735,4
736,3
737,4
738,3
739,1
740,1
741,3
742,10
743,7
744,1
745,9
746,3
747,11
748,6
749,4
750,5
751,4
752,7
753,4
754,1
755,0
756,5
757,2
758,3
759,4
760,3
761,7
762,3
763,7
764,1
765,7
766,3
767,1
768,4
769,5
770,4
771,7
772,3
773,7
774,6
775,1
776,3
777,13
778,3
779,3
780,6
781,17
782,4
783,2
784,8
785,8
786,16
787,8
788,10
789,6
790,7
791,7
792,7
793,16
794,12
795,7
796,7
797,5
798,7
799,11
800,17
801,11
802,7
803,3
804,4
805,4
806,4
807,8
808,4
809,4
810,1
811,1
812,1
813,7
814,1
815,4
816,5
817,3
818,9
819,6
820,7
821,17
822,14
823,8
824,7
825,14
826,7
827,17
828,7
829,3
830,7
831,16
832,6
833,11
834,11
835,16
836,9
837,6
838,8
839,8
840,6
841,1
842,7
843,11
844,6
845,5
